Document Title,Abstract,Publication_month,Publication_Year,PDF Link
Real-time depth map processor for offset aperture based single camera system,"This paper presents a Offset Aperture (OA) based single camera system and proposes a optimized vision processor, a new hardware architecture for fast, low-energy, and low-complexity depth extraction. The proposed design was fabricated in 110nm CMOS image sensor technology and supports 32-level depth resolution on 1920×1080 full HD image with 30fps, consuming 280.53mW from 1.5V supply and a mere 2.8% of bad classification. The low-complexity algorithms are employed to eliminate the DRAM access, thereby the proposed OA architecture can be directly embedded with the CMOS image sensor and commercial image processing chip.",2,2018,https://ieeexplore.ieee.org/abstract/document/8297326
Flicker-Free Method for Video Captured at 120-Hz Frame Frequency by Interlaced Scanning and Electrical Shutter,We propose a flicker-free method for video captured at a 120-Hz frame frequency and a 100-Hz illumination intensity variation frequency by using interlaced scanning and an electrical shutter to broadcast video during the 2020 Olympic Games in Tokyo. We found from the results of image simulation that the human eye cannot identify the decrease in vertical resolution of images with interlaced scanning when they are displayed at a 120-Hz frame frequency. We found that flicker in video captured with the flicker-free method was suppressed to less than one-twentieth of the flicker with 120-Hz progressive scanning as a result of implementation. The sensitivity of the prototype camera head with the flicker-free method also became 1.2 times higher than that with 120-Hz progressive scanning. The 120-Hz flicker-free method could be adopted in a fieldprogrammable gate array of the prototype camera head that has already been developed with a 120-Hz frame frequency.,1,2018,https://www.jstage.jst.go.jp/article/mta/6/1/6_124/_article/-char/ja/
DMDs for multi-object near-infrared spectrographs in astronomy,"The Digital Micromirror Device (DMD), typically used in projection screen technology, has utility in instrumentation for astronomy as a digitally programmable slit in a spectrograph. When placed at an imaging focal plane the device can be used to selectively direct light from astronomical targets into the optical path of a spectrograph, while at the same time directing the remaining light into an imaging camera, which can be used for slit alignment, science imaging, or both. To date the use of DMDs in astronomy has been limited, especially for instruments that operate in the near infrared (1 - 2.5 μm). This limitation is due in part to a host of technical challenges with respect to DMDs that, to date, have not been thoroughly explored. Those challenges include operation at cryogenic temperature, control electronics that facilitate DMD use at these temperatures, window coatings properly coated for the near infrared bandpass, and scattered light. This paper discusses these technical challenges and presents progress towards understanding and mitigating them.",2,2018,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10546/2291184/DMDs-for-multi-object-near-infrared-spectrographs-in-astronomy/10.1117/12.2291184.short
Implementation of Real-Time Histogram-based Contrast Enhancement Algorithm on FPGA with the Prevention of Memory Collision,"Contrast enhancement is essential for image sensor processing. This paper addresses the memory collision problem in contrast enhancement and reduces the delay of the output of the built system by exploiting the temporal locality of the frame from video camera. The proposed work reduces the output delay of the contrast enhancement algorithm from one frame (more than 2,703,600 cycles) to 519 cycles where the total hardware utilization of Xilinx Zynq ZC706 FPGA evaluation board is less than 0.4%, which is the considerably low hardware cost.",6,2018,http://www.dbpia.co.kr/Journal/ArticleDetail/NODE07515699
Time-Shared Execution of Realtime Computer Vision Pipelines by Dynamic Partial Reconfiguration,"This paper presents an FPGA runtime framework that demonstrates the feasibility of using dynamic partial reconfiguration (DPR) for time-sharing an FPGA by multiple realtime computer vision pipelines. The presented time-sharing runtime framework manages an FPGA fabric that can be round-robin time-shared by different pipelines at the time scale of individual frames. In this new use-case, the challenge is to achieve useful performance despite high reconfiguration time. The paper describes the basic runtime support as well as four optimizations necessary to achieve realtime performance given the limitations of DPR on today's FPGAs. The paper provides a characterization of a working runtime framework prototype on a Xilinx ZC706 development board. The paper also reports the performance of realtime computer vision pipelines when time-shared.",5,2018,https://arxiv.org/abs/1805.10431
CAMERA-TO-TOUCHSCREEN DESIGN,"The present paper describes an FPGA design of a camera-to-touchscreen demonstrator that has been prepared using Xilinx Vivado 2015.2 and SDK 2015.2 tools. The demonstrator consists of MicroZed 7020 Carrier Board, Avnet 7-inch Zed Touch Display and Avnet Toshiba Industrial 1080P60 Camera Module. The camera transmits a full HD video signal at 60 frames per seconds to MicroZed 7020 board, which processes it and sends to the LCD display with active area of 800×480 pixels. As the display has smaller resolution, only a fragment of the whole video frame can be seen at once on the display, whereas the full image is stored in the memory. By touching the screen one can travel along the stored video frame and look through the whole image. The design can be used, for example, as a car rear view mirror monitor benefiting from touchscreen technologies. ",8,2018,https://cyberleninka.ru/article/n/camera-to-touchscreen-design
Hardware Implementation of a Smart Camera with Keypoint Detection and Description,"Feature detection and description constitute important steps of many computer vision applications such as object detection and panorama stitching. Since those steps are computationally heavy, they might occupy significant portion of the full operation. Although fast feature detection algorithms and resource-efficient binary description methods have been proposed and implemented, resource limited embedded devices and distributed camera systems still require more effective solutions. In this paper, we propose a novel smart camera architecture which finds the FAST keypoints and computes their FREAK descriptions by processing pixel stream. Thus, this smart camera system provides useful metadata associated with the pixel stream at the same time with no latency. Moreover, performance of this hardware reaches very high frame rates with power and area efficiency. With this approach, this costly operation is locally solved in the smart camera node, and this leads to meet timing and power constraints of the large camera networks.",5,2018,https://ieeexplore.ieee.org/abstract/document/8351538/
An Investigation towards Effectiveness in Image Enhancement Process in MPSoC,"Image enhancement has a primitive role in the vision-based applications. It involves the processing of the input image by boosting its visualization for various applications. The primary objective is to filter the unwanted noises, clutters, sharpening or blur. The characteristics such as resolution and contrast are constructively altered to obtain an outcome of an enhanced image in the bio-medical field. The paper highlights the different techniques proposed for the digital enhancement of images. After surveying these methods that utilize Multiprocessor System-on-Chip (MPSoC), it is concluded that these methodologies have little accuracy and hence none of them are efficiently capable of enhancing the digital biomedical images. ",4,2018,https://search.proquest.com/openview/74bb2e8cd1e760c91964b3fb6b0a46b8/1?pq-origsite=gscholar&cbl=1686344
Rapid Design of Real-Time Image Fusion on FPGA using HLS and Other Techniques,"During the process of implementing a parameterized hardware IP generator for an image fusion algorithm, we had a chance to test various tools and techniques such as HLS, pipelining, and PCIe logic/software porting, which we developed in a previous design project. Image fusion combines two or more images through a color transformation process. Depending on the application, different fps and/or resolution may be needed. Yet the specifics of the image-processing algorithm may frequently change causing redesign. If the target platform is FPGA, usually rapid yet optimized hardware implementation is required. All these requirements cannot be met only by HLS. Clever approaches in terms of architectural techniques such as unorthodox ways of pipelining, RTL coding, and creative ways of porting interface logic/software allowed us to meet the requirements outlined above. With all these in our arsenal, we were able to get 3 versions of the algorithm (with different fps and/or resolution) running on Cyclone IV and Arria 10 FPGAs in a fairly short amount of time. This paper explains the image fusion algorithm, our hardware architecture as well as our specific flow for rapid implementation of it.",10,2018,https://ieeexplore.ieee.org/abstract/document/8612836
NIPM-sWMF: Towards Efficient FPGA Design for High-Definition Large-Disparity Stereo Matching,"Large disparity stereo matching is critical to the application of stereo vision system especially for outdoor scenes. Nevertheless, how to efficiently design high accuracy large-disparity stereo matching on FPGA is still a grand challenge. The computational complexity of previously proposed stereo matching is inevitably proportional to disparity range, hence their hardware designs become very inefficient when the disparity range is large. Motivated by the original PatchMatch and weighted median filtering algorithms, this paper proposes a NIPM-sWMF algorithm to significantly reduce the computational complexity of stereo matching and make it independent of disparity range. Moreover, we also propose a fully pipelined architecture design on FPGA that employs several hardware techniques to efficiently implement the proposed NIPM-sWMF. The disparity quality of the proposed NIPM-sWMF algorithm is evaluated on both KITTI2015 and Middlebury V3 stereo datasets, and the proposed architecture design is implemented and synthesized on Xilinx FPGA. Evaluation results demonstrate that, the proposed NIPM-sWMF design on FPGA reaches the real-time performance of 1920×1080@60Hz at the disparity range of 128, and can achieve almost the same disparity estimation accuracy, 4.5× processing throughput, while reducing the hardware cost of LUT, Register, DSP and BRAM by 40%, 47%, 100% and 68% respectively, compared with the reference stereo matching design. Therefore, the proposed NIPM-sWMF design is an efficient way to address the challenge of large-disparity stereo matching.",5,2018,https://ieeexplore.ieee.org/abstract/document/8355677
