Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A 95pJ/label Wide-Range Depth-Estimation Processor for Full-HD Light-Field Applications on FPGA,L. Chen; Y. Lu; Y. Hiao; B. Yang; W. Chen; C. Huang,"Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan; Department of Electrical Engineering, National Tsing Hua University, Hsinchu, Taiwan",2018 IEEE Asian Solid-State Circuits Conference (A-SSCC),,2018,,,261,262,"High-resolution and wide-range depth maps are the key to enable novel light-field applications, such as digital refocusing, view synthesis, and 3D reconstruction. In this paper, we present an energy-efficient depth-estimation processor on FPGA to meet this purpose. There are two major contributions. First, image-guided depth inference and upsampling is adopted and implemented to provide accurate depth maps while lowering the working frequency from 215MHz to 54MHz. Second, octave search range sampling is proposed to efficiently allocate depth labels for wide-depth-range scenes to save computation and maintain accuracy. Finally, the implementation result on Xilinx ZC706 shows ASIC-comparable energy efficiency-95pJ/label-for Full-HD five-view light fields at 30fps.",,978-1-5386-6413-1978-1-5386-6414,10.1109/ASSCC.2018.8579289,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8579289,light field;depth estimation;FPGA;Full HD,Field programmable gate arrays;Random access memory;Energy efficiency;Estimation;Image resolution;Hardware,application specific integrated circuits;field programmable gate arrays;image sampling;inference mechanisms,octave search range sampling;FPGA;digital refocusing;energy-efficient depth-estimation processor;image-guided depth inference;Xilinx ZC706;ASIC;full-HD light-field applications;wide-range depth-estimation processor;3D reconstruction;depth label allocation;frequency 54.0 MHz to 215.0 MHz,,,4,,,,,,IEEE,IEEE Conferences
Implementation Ring Oscillator Physical Unclonable Function (PUF) in FPGA,R. Pramudita; S. Ramadhan; F. I. Hariadi; A. S. Ahmad,"School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Microelectronics Center, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Microelectronics Center, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Microelectronics Center, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Microelectronics Center, Indonesia",2018 International Symposium on Electronics and Smart Devices (ISESD),,2018,,,1,5,"This paper is describing the implementation and development of a Physical Unclonable Function (PUF) system for security and authentication. The PUF is tried to be implemented on an FPGA board and compared with similar FPGA board to catch the difference. In this case, the PUF is implemented on Cyclone IV, Intel FPGA board. The chosen FPGA are Cyclone IV EP4CE115F29 as FPGA 1, and Cyclone IV EP4CE10E22C8N as FPGA 2. The type of PUF used is Ring Oscillator (R-O) PUF. The result is shown, for testing the occurrence probability of a value 1 or P(bi=1) for each bit on two FPGA boards. In FPGA 1, the largest value of P(bi=1) is found at the first bit and the smallest value of P(bi=1) is at the fourth bit. For FPGA 2, the largest value of P(bi=1) is at the 13th bit, and the smallest value of P(bi=1) is at the 12th bit. For the average stability value at any position expressed by the Si parameter, the largest Si value on FPGA 1 is at the 4th-bit position and the smallest is at the 11th bit. For FPGA 2, the largest Si value is on the 12th bit while the smallest one is at position 11. In this work, the Hamming distance (HD) of the ROPUF output of both FPGA 1 and 2 are analyzed. For the two FPGA's, the Intra HD results are found to be unsatisfactory because there are still many changes in bit value (bit-flip) are within 1 - 2 bits. On the other hand, the Inter HD values obtained appear to be adequate with the average bit-flip in the range of 3-4 bits. This can be caused by the influence of random environmental conditions, for example, due to the fluctuations of ambient temperature.",,978-1-5386-6670-8978-1-5386-6669-2978-1-5386-6671,10.1109/ISESD.2018.8605475,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8605475,Authentication;Security;Ring Oscilator;Physical Unclonable Function,Field programmable gate arrays;Ring oscillators;Delays;Mathematical model;Circuit stability;Logic gates,field programmable gate arrays;oscillators,implementation ring oscillator physical unclonable function;PUF;similar FPGA board;Intel FPGA board;Cyclone IV EP4CE115F29;FPGA 1;Cyclone IV EP4CE10E22C8N;FPGA 2;largest Si value;physical unclonable function system;Intra HD results;Inter HD values;random environmental conditions;ambient temperature,,,10,,,,,,IEEE,IEEE Conferences
FPGA-Based Real-Time Super-Resolution System for Ultra High Definition Videos,Z. He; H. Huang; M. Jiang; Y. Bai; G. Luo,NA; NA; NA; NA; NA,2018 IEEE 26th Annual International Symposium on Field-Programmable Custom Computing Machines (FCCM),,2018,,,181,188,"The market benefits from a barrage of Ultra High Definition (Ultra-HD) displays, yet most extant cameras are barely equipped with Full-HD video capturing. In order to upgrade existing videos without extra storage costs, we propose an FPGA-based super-resolution system that enables real-time Ultra-HD upscaling in high quality. Our super-resolution system crops each frame into blocks, measures their total variation values, and dispatches them accordingly to a neural network or an interpolation module for upscaling. This approach balances the FPGA resource utilization, the attainable frame rate, and the image quality. Evaluations demonstrate that the proposed system achieves superior performance in both throughput and reconstruction quality, comparing to current approaches.",2576-2621,978-1-5386-5522-1978-1-5386-5523,10.1109/FCCM.2018.00036,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457651,Field-Programmable Gate Arrays;Ultra High Definition;Super-Resolution;Real-time,Image resolution;Neural networks;TV;Interpolation;Real-time systems;Videos;Field programmable gate arrays,cameras;field programmable gate arrays;high definition video;image enhancement;image reconstruction;image resolution;interpolation;video signal processing,FPGA-based real-time super-resolution system;FPGA resource utilization;cameras;Ultra-HD upscaling;ultra high definition videos;ultra high definition displays;interpolation module;image quality;reconstruction quality;full-HD video capturing,,,47,,,,,,IEEE,IEEE Conferences
An efficient FPGA implementation of HEVC intra prediction,H. Azgin; A. C. Mert; E. Kalali; I. Hamzaoglu,"Faculty of Engineering and Natural Sciences, Sabanci University, 34956 Tuzla, Istanbul, Turkey; Faculty of Engineering and Natural Sciences, Sabanci University, 34956 Tuzla, Istanbul, Turkey; Faculty of Engineering and Natural Sciences, Sabanci University, 34956 Tuzla, Istanbul, Turkey; Faculty of Engineering and Natural Sciences, Sabanci University, 34956 Tuzla, Istanbul, Turkey",2018 IEEE International Conference on Consumer Electronics (ICCE),,2018,,,1,5,"Intra prediction algorithm used in High Efficiency Video Coding (HEVC) standard has very high computational complexity. In this paper, an efficient FPGA implementation of HEVC intra prediction is proposed for 4×4, 8×8, 16×16 and 32×32 angular prediction modes. In the proposed FPGA implementation, one intra angular prediction equation is implemented using one DSP block in FPGA. The proposed FPGA implementation, in the worst case, can process 55 Full HD (1920×1080) video frames per second. It has up to 34.66% less energy consumption than the original FPGA implementation of HEVC intra prediction. Therefore, it can be used in portable consumer electronics products that require a real-time HEVC encoder.",2158-4001,978-1-5386-3025-9978-1-5386-3026,10.1109/ICCE.2018.8326332,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8326332,HEVC;Intra Prediction;Hardware Implementation;FPGA,Mathematical model;Field programmable gate arrays;Hardware;Adders;Prediction algorithms;Energy consumption;High efficiency video coding,computational complexity;field programmable gate arrays;prediction theory;video coding,High Efficiency Video Coding standard;HEVC intraprediction;FPGA implementation;intraprediction algorithm;computational complexity;angular prediction modes;intraangular prediction equation,,3,16,,,,,,IEEE,IEEE Conferences
Full-HD Accelerated and Embedded Feature Detection Video System with 63fps using ORB for FREAK,L. Kalms; H. Ibrahim; D. Göhringer,"Technische Universitát Dresden, Dresden, Germany; German University in Cairo (GUC), Cairo, Egypt; Technische Universitát Dresden, Dresden, Germany",2018 International Conference on ReConFigurable Computing and FPGAs (ReConFig),,2018,,,1,6,"Detecting features using pattern recognition algorithms is a fast method to recognize objects without needing large image databases. Feature detection can be used in e.g. machine learning or Simultaneous Localization and Mapping (SLAM) algorithms. For several application areas, real-time requirements and power constraints are important. FPGAs are predestined for these requirements, due to the possibility of clock-accurate computations. This work proposes a hardware accelerator of the Oriented FAST and Rotated BRIEF (ORB) feature detector implemented as a pipelined design on an FPGA SoC. The accelerator is integrated into an HDMI input/output video processing system. The final system runs with a frequency of 148.5 MHz and processes a 1080p video stream with 63 frames per second (fps). Furthermore, we propose to replace the Binary Robust Independent Elementary Features (BRIEF) with the Fast Retina Keypoint (FREAK) descriptor to improve the performance and repeatability of the algorithm.",2640-0472;2325-6532,978-1-7281-1968-7978-1-7281-1969,10.1109/RECONFIG.2018.8641706,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8641706,FPGA;Feature Detection;Image Processing;Real-Time;Video Processing System,Detectors;Hardware;Feature detection;Feature extraction;Streaming media;Signal processing algorithms;Image color analysis,feature extraction;field programmable gate arrays;image matching;object detection;object recognition;pipeline processing;SLAM (robots);system-on-chip;video signal processing,power constraints;clock-accurate computations;Simultaneous Localization and Mapping algorithms;real-time requirements;application areas;machine learning;pattern recognition algorithms;embedded feature detection video system;HD accelerated;FREAK;Fast Retina Keypoint descriptor;Binary Robust Independent Elementary Features;HDMI input/output video processing system;ORB;Rotated BRIEF;Oriented FAST;hardware accelerator;frequency 148.5 MHz,,,17,,,,,,IEEE,IEEE Conferences
Design of Efficient Cyclic Redundancy Check-32 using FPGA,M. S. Abdulnabi; H. Ahmed,"Computer and Network Engineering, Sudan University of Science and Technology, Khartoum, Sudan; Electronics Engineering, Sudan University of Science and Technology, Khartoum, Sudan","2018 International Conference on Computer, Control, Electrical, and Electronics Engineering (ICCCEEE)",,2018,,,1,5,"In Data Integrity, Cyclic Redundancy Check (CRC) is error detection technique. CRC treat a group of binary bits of a message by dividing it by a fixed binary number, the resulted remainder is the checksum that will be attached to the message. On the receiver side the same division could be performed and the receiver can compare the remainder with the transmitted checksum. This paper explains the design of CRC32 that used in Ethernet using Field Programmable Gate Array (FPGA) Virtex-7. The design built based on lookup tables and slicing-by-16 algorithm that performed the calculations of the CRC32 in parallel. Xilinx ISE used as IDE and I-Sim used for the simulation. The resulted processing time is equal to 1.250 ns with low power consumption and low device utilization.",,978-1-5386-4123-1978-1-5386-4124,10.1109/ICCCEEE.2018.8515877,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8515877,CRC32;FPGA;Xilinx,,cyclic redundancy check codes;data integrity;error detection;field programmable gate arrays;local area networks;power consumption;table lookup,FPGA;error detection technique;binary bits;CRC32;data integrity;cyclic redundancy check;binary number;Ethernet;field programmable gate array virtex-7;lookup tables;Xilinx ISE;IDE;I-Sim;power consumption;device utilization,,1,8,,,,,,IEEE,IEEE Conferences
A High Throughput VLSI Architecture for Real-Time Full-HD Gradient Guided Image Filter,L. Wu; C. C. Jong,"VIRTUS IC Design Center of Excellence, School of Electrical and Electronic Engineering, Nanyang Technological University, 50 Nanyang Avenue, 639798 Singapore.; VIRTUS IC Design Center of Excellence, School of Electrical and Electronic Engineering, Nanyang Technological University, 50 Nanyang Avenue, 639798 Singapore.",IEEE Transactions on Circuits and Systems for Video Technology,,2018,PP,99,1,1,"Guided image filtering (GIF) has been applied widely in recent years as a solution to the ever increasing demand of high performance filtering, especially for real-time image/video processing. Lately proposed gradient domain guided image filter (GDGIF) is one of the typical works focusing on improving the quality of the filtering result of the original GIF, dealing with the halo-artifacts problem for edge-preserving smoothing. However, due to the involvement of global pixel values in the computation, high computation complexity and additional complex operation, there is no existing VLSI design for the gradient guided filter. This paper presents a high throughput VLSI architecture for real-time Full-HD (1920 &#x00D7; 1080) GDGIF. Four techniques are used in the newly proposed design to reduce the computation complexity and increase the processing throughput. First, a pre-processing stage is introduced to address the problem of global parameters required in the GDGIF. Second, multi-scale down-samplings are adopted for reducing circuit size and processing time. Then, a parallel structure operated at a higher frequency is used at the output stage to restore the full image size and to achieve high throughput at the same time. Last, approximated computation is introduced to eliminate speed bottleneck by simplifying the complex exponentiation operation. Based on the STM 65 nm CMOS technology, the implementation results show that the proposed architecture is able to support Full-HD image filtering at a throughput above 75 frame/second, with a design area of 586314 &#x03BC;m2 and power consumption of 18.5mW.",1051-8215;1558-2205,,10.1109/TCSVT.2018.2852336,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401895,guided image filter;image/video processing;halo-artifacts;approximated computation,Image edge detection;Throughput;Very large scale integration;Computer architecture;Real-time systems;Smoothing methods;Cost function,,,,,,,,,,,IEEE,IEEE Early Access Articles
A 1.1μm-Pitch 13.5Mpixel 3D-stacked CMOS image sensor featuring 230fps full-high-definition and 514fps high-definition videos by reading 2 or 3 rows simultaneously using a column-switching matrix,P. Chou; C. Chang; M. M. Mhala; C. C. Liu; C. Y. Chao; C. Huang; H. Tu; T. Wu; S. Yeh; S. Takahashi; Y. Huang,"TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan; TSMC, Hsinchu, Taiwan",2018 IEEE International Solid - State Circuits Conference - (ISSCC),,2018,,,88,90,"Slow-motion video is a desirable feature for state-of-art smartphones. The effect is achieved by capturing a video at a higher frame rate and playing it back at a lower frame rate. While the still-image resolution of smartphone cameras ranges from 8MP to 25MP, standard videos are limited to 3 formats: 3840×2160 (4K2K, 2160p), 1920×1080 (Full High Definition, FHD, 1080p), and 1280×720 (High Definition, HD, 720p). CMOS image sensors using various column-parallel aDc architectures have been reported to reach high frame rates [1-5]. The single-slope (SS) ADC is an attractive choice for a balanced performance among high speed, low noise, small area, and low power consumption. However, in conventional SS ADC design, each ADC is hardwired to a column signal line. ADCs for skipped columns are left idle during the subsampling operation, and the potential to reach higher frame rate is not optimized. In this paper, we develop an approach in which all the column ADCs are fully utilized in both of the 2-to-1 and 3-to-1 subsampling modes, such that the maximum of 4x faster FHD and 9x faster HD videos are demonstrated with reference to the 1-to-1 non-subsampled 4K2K video.",2376-8606,978-1-5090-4940-0978-1-5386-2227,10.1109/ISSCC.2018.8310197,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8310197,,Videos;CMOS image sensors;High definition video;Switches;Routing;Reflective binary codes,analogue-digital conversion;cameras;CMOS image sensors;image resolution;video signal processing,frame rate;smartphones;skipped columns;slow-motion video;column-switching matrix;high-definition videos;HD videos;3-to-1 subsampling modes;column ADCs;column signal line;conventional SS ADC design;low power consumption;single-slope ADC;column-parallel aDc architectures;CMOS image sensor;standard videos;smartphone cameras;still-image resolution,,,5,,,,,,IEEE,IEEE Conferences
A Binary-Feature-Based Object Recognition Accelerator with 22 M-Vector/s Throughput and 0.68 G-Vector/J Energy-Efficiency for Full-HD Resolution,L. Liu; W. Zhu; S. Yin; S. Wei,"Institute of Microelectronics, Tsinghua University, Beijing, 100084, China.; Institute of Semiconductoes, Chinese Academy of Sciences &#x0026; University of Chinese Academy of Sciences, Beijing, 100084, China.; Institute of Microelectronics, Tsinghua University, Beijing, 100084, China.; Institute of Microelectronics, Tsinghua University, Beijing, 100084, China.",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,2018,PP,99,1,1,"Considering that the binary-feature-based approximate nearest neighbor search technique has not been fully exploited to date, a multi-segment binary feature-based hierarchical clustering tree model is proposed to achieve fast binary feature matching. In addition, the multi-segment vocabulary forest (MSVF), is developed for the ease of hardware-oriented implementation. During the approximate nearest neighbor searching process, the corresponding leaf nodes of each segment of the query feature are returned simultaneously to improve processing speed and accuracy. Furthermore, a hierarchical decomposition based on the term frequency-inverse document frequency is used to reduce the run-time search space and total memory footprint for object database storage. Finally, a fine-grained feature-level fully-pipelined object recognition accelerator is implemented based on a dedicated design between feature matching and object scoring. The performance of the proposed object recognition accelerator is evaluated based on TSMC 65 nm CMOS technology. The accelerator achieves 22 M-vec/s and 6.8&#x00D7;108 vec/J in throughput and energy efficiency for full-HD resolution, respectively; these results represent a 10.6&#x00D7; and 9&#x00D7; improvement, respectively, relative to current state-of-the-art solutions. The average power consumption is 32.6 mW when operating at 200 MHz.",0278-0070;1937-4151,,10.1109/TCAD.2018.2846634,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8382214,Approximate nearest neighbor;Binary feature;Multi segment;Processing array.,Object recognition;Vegetation;Feature extraction;Search problems;Frequency modulation;Vocabulary;Hardware,,,,,,,,,,,IEEE,IEEE Early Access Articles
FPGA implementation of self-reconfigurable fuzzy logic controller,H. Abdelkrim; S. Ben Othman; S. Ben Saoud,"Laboratoire des Systèmes Avancés LSA EPT, Carthage University, La Marsa, Tunisia; Laboratoire des Systèmes Avancés LSA EPT, Carthage University, La Marsa, Tunisia; Laboratoire des Systèmes Avancés LSA EPT, Carthage University, La Marsa, Tunisia",2018 International Conference on Advanced Systems and Electric Technologies (IC_ASET),,2018,,,151,156,"Nowadays, new system design requirements are increasing more and more. Even though, the SoC FPGA based is a good choice given their flexibility, the Reconfigurable System on Chip (RSoC) is a better flexible solution that allows chip Partial Reconfiguration (PR). In this study, we present a PR design approach of FPGA based Fuzzy Logic Controller (FLC) for electromechanical system. In order to enhance flexibility and performance of the considered system, a self-reconfigurable system is designed. Based on Zynq Processor of the Zedboard, the system switches between different versions of the HW speed FLC. Experimental results were validated and the efficiency of the approach was confirmed.",,978-1-5386-4449-2978-1-5386-4448-5978-1-5386-4450,10.1109/ASET.2018.8379850,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8379850,Dynamic Partial Reconfiguration;Implementation;FPGA;Zynq Processor;Fuzzy Logic Controller;Reconfigurability,Linguistics;Fuzzy logic;Field programmable gate arrays;Hardware;Process control;DC motors;System analysis and design,field programmable gate arrays;fuzzy control;logic design;reconfigurable architectures;system-on-chip,chip Partial Reconfiguration;FPGA based Fuzzy Logic Controller;electromechanical system;HW speed FLC;FPGA implementation;self-reconfigurable fuzzy logic controller;SoC FPGA,,,15,,,,,,IEEE,IEEE Conferences
